s,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m,C,C,%,%,%,m
Time,"Salon_T_upper","Salon_T_lower","Salon_O2_pct","Salon_CO_pct","Salon_CO2_pct","Salon_visibility_m","Pasillo_T_upper","Pasillo_T_lower","Pasillo_O2_pct","Pasillo_CO_pct","Pasillo_CO2_pct","Pasillo_visibility_m","Dormitorio1_T_upper","Dormitorio1_T_lower","Dormitorio1_O2_pct","Dormitorio1_CO_pct","Dormitorio1_CO2_pct","Dormitorio1_visibility_m","Dormitorio2_T_upper","Dormitorio2_T_lower","Dormitorio2_O2_pct","Dormitorio2_CO_pct","Dormitorio2_CO2_pct","Dormitorio2_visibility_m","Cocina_T_upper","Cocina_T_lower","Cocina_O2_pct","Cocina_CO_pct","Cocina_CO2_pct","Cocina_visibility_m","Bano_T_upper","Bano_T_lower","Bano_O2_pct","Bano_CO_pct","Bano_CO2_pct","Bano_visibility_m"
 9.0121730E+000, 2.1949770E+001, 2.0112815E+001, 2.0755876E+001, 3.6135199E-008, 3.8644252E-002, 3.0000000E+001, 2.0084286E+001, 2.0084794E+001, 2.0755882E+001, 3.2178125E-062, 3.8641183E-002, 3.0000000E+001, 2.0084447E+001, 2.0084725E+001, 2.0755882E+001, 4.4206076E-086, 3.8641183E-002, 3.0000000E+001, 2.0084571E+001, 2.0084336E+001, 2.0755882E+001, 1.3799117E-101, 3.8641183E-002, 3.0000000E+001, 2.0084752E+001, 2.0084443E+001, 2.0755882E+001, 1.2519990E-120, 3.8641183E-002, 3.0000000E+001, 2.0084759E+001, 2.0084406E+001, 2.0755882E+001, 1.2770444E-126, 3.8641183E-002, 3.0000000E+001
 1.0047855E+001, 2.4699911E+001, 2.0141836E+001, 2.0755534E+001, 2.1204584E-006, 3.8821263E-002, 3.0000000E+001, 2.0103234E+001, 2.0103780E+001, 2.0755882E+001, 2.9722470E-059, 3.8641183E-002, 3.0000000E+001, 2.0103403E+001, 2.0103704E+001, 2.0755882E+001, 3.7322156E-083, 3.8641183E-002, 3.0000000E+001, 2.0103521E+001, 2.0103292E+001, 2.0755882E+001, 2.4171169E-098, 3.8641183E-002, 3.0000000E+001, 2.0103729E+001, 2.0103392E+001, 2.0755882E+001, 8.8582824E-117, 3.8641183E-002, 3.0000000E+001, 2.0103727E+001, 2.0103374E+001, 2.0755882E+001, 2.8479544E-122, 3.8641183E-002, 3.0000000E+001
 1.1083538E+001, 2.2102379E+001, 2.0175579E+001, 2.0755377E+001, 3.0768722E-006, 3.8902487E-002, 3.0000000E+001, 2.0125289E+001, 2.0125872E+001, 2.0755882E+001, 2.9889419E-052, 3.8641183E-002, 3.0000000E+001, 2.0125462E+001, 2.0125787E+001, 2.0755882E+001, 4.5002556E-079, 3.8641183E-002, 3.0000000E+001, 2.0125571E+001, 2.0125354E+001, 2.0755882E+001, 2.1070532E-095, 3.8641183E-002, 3.0000000E+001, 2.0125808E+001, 2.0125444E+001, 2.0755882E+001, 1.6410036E-113, 3.8641183E-002, 3.0000000E+001, 2.0125793E+001, 2.0125447E+001, 2.0755882E+001, 1.1043117E-118, 3.8641183E-002, 3.0000000E+001
 1.2025067E+001, 2.4364649E+001, 2.0210546E+001, 2.0755276E+001, 3.6905043E-006, 3.8954600E-002, 3.0000000E+001, 2.0148428E+001, 2.0149043E+001, 2.0755882E+001, 1.1968223E-046, 3.8641183E-002, 3.0000000E+001, 2.0148599E+001, 2.0148949E+001, 2.0755882E+001, 7.9635380E-074, 3.8641183E-002, 3.0000000E+001, 2.0148698E+001, 2.0148497E+001, 2.0755882E+001, 2.9513237E-091, 3.8641183E-002, 3.0000000E+001, 2.0148964E+001, 2.0148578E+001, 2.0755882E+001, 1.1279549E-110, 3.8641183E-002, 3.0000000E+001, 2.0148932E+001, 2.0148600E+001, 2.0755882E+001, 8.8145223E-116, 3.8641183E-002, 3.0000000E+001
 1.3060750E+001, 2.6762724E+001, 2.0247647E+001, 2.0754664E+001, 7.4212007E-006, 3.9271430E-002, 3.0000000E+001, 2.0173412E+001, 2.0174060E+001, 2.0755882E+001, 4.6067062E-042, 3.8641183E-002, 3.0000000E+001, 2.0173578E+001, 2.0173954E+001, 2.0755882E+001, 8.3939910E-069, 3.8641183E-002, 3.0000000E+001, 2.0173665E+001, 2.0173487E+001, 2.0755882E+001, 2.2151755E-084, 3.8641183E-002, 3.0000000E+001, 2.0173962E+001, 2.0173557E+001, 2.0755882E+001, 6.0428358E-103, 3.8641183E-002, 3.0000000E+001, 2.0173907E+001, 2.0173598E+001, 2.0755882E+001, 7.3905710E-112, 3.8641183E-002, 3.0000000E+001
 1.4002279E+001, 2.4961399E+001, 2.0286610E+001, 2.0754425E+001, 8.8754271E-006, 3.9394930E-002, 3.0000000E+001, 2.0200264E+001, 2.0200946E+001, 2.0755882E+001, 4.0098305E-038, 3.8641183E-002, 3.0000000E+001, 2.0200418E+001, 2.0200825E+001, 2.0755882E+001, 1.8700477E-064, 3.8641183E-002, 3.0000000E+001, 2.0200494E+001, 2.0200344E+001, 2.0755882E+001, 2.3519139E-079, 3.8641183E-002, 3.0000000E+001, 2.0200822E+001, 2.0200402E+001, 2.0755882E+001, 2.1709878E-097, 3.8641183E-002, 3.0000000E+001, 2.0200738E+001, 2.0200461E+001, 2.0755882E+001, 6.3633900E-106, 3.8641183E-002, 3.0000000E+001
 1.5037961E+001, 2.4473378E+001, 2.0327151E+001, 2.0754424E+001, 8.8827574E-006, 3.9395553E-002, 3.0000000E+001, 2.0229095E+001, 2.0229816E+001, 2.0755882E+001, 1.6483131E-033, 3.8641183E-002, 3.0000000E+001, 2.0229230E+001, 2.0229674E+001, 2.0755882E+001, 9.9776991E-060, 3.8641183E-002, 3.0000000E+001, 2.0229295E+001, 2.0229179E+001, 2.0755882E+001, 7.7022524E-075, 3.8641183E-002, 3.0000000E+001, 2.0229658E+001, 2.0229226E+001, 2.0755882E+001, 8.7531251E-093, 3.8641183E-002, 3.0000000E+001, 2.0229537E+001, 2.0229302E+001, 2.0755882E+001, 1.2324188E-100, 3.8641183E-002, 3.0000000E+001
 1.6064190E+001, 2.5058938E+001, 2.0370826E+001, 2.0754514E+001, 8.3306406E-006, 3.9348664E-002, 3.0000000E+001, 2.0261214E+001, 2.0261979E+001, 2.0755882E+001, 1.3971649E-029, 3.8641183E-002, 3.0000000E+001, 2.0261321E+001, 2.0261809E+001, 2.0755882E+001, 5.1776016E-055, 3.8641183E-002, 3.0000000E+001, 2.0261377E+001, 2.0261302E+001, 2.0755882E+001, 2.3535993E-070, 3.8641183E-002, 3.0000000E+001, 2.0261776E+001, 2.0261337E+001, 2.0755882E+001, 8.0214845E-089, 3.8641183E-002, 3.0000000E+001, 2.0261610E+001, 2.0261429E+001, 2.0755882E+001, 3.1618688E-096, 3.8641183E-002, 3.0000000E+001
 1.7081001E+001, 2.3541050E+001, 2.0415551E+001, 2.0754704E+001, 7.1764021E-006, 3.9250640E-002, 3.0000000E+001, 2.0294939E+001, 2.0295751E+001, 2.0755882E+001, 7.2627008E-027, 3.8641183E-002, 3.0000000E+001, 2.0295010E+001, 2.0295552E+001, 2.0755882E+001, 2.2458482E-051, 3.8641183E-002, 3.0000000E+001, 2.0295059E+001, 2.0295031E+001, 2.0755882E+001, 1.0245687E-065, 3.8641183E-002, 3.0000000E+001, 2.0295498E+001, 2.0295058E+001, 2.0755882E+001, 2.5837763E-084, 3.8641183E-002, 3.0000000E+001, 2.0295276E+001, 2.0295162E+001, 2.0755882E+001, 5.9545696E-092, 3.8641183E-002, 3.0000000E+001
 1.8013077E+001, 2.3415964E+001, 2.0459607E+001, 2.0754789E+001, 6.6579443E-006, 3.9206610E-002, 3.0000000E+001, 2.0328871E+001, 2.0329730E+001, 2.0755882E+001, 5.5028931E-025, 3.8641183E-002, 3.0000000E+001, 2.0328903E+001, 2.0329504E+001, 2.0755882E+001, 9.6541783E-049, 3.8641183E-002, 3.0000000E+001, 2.0328948E+001, 2.0328970E+001, 2.0755882E+001, 4.6050314E-062, 3.8641183E-002, 3.0000000E+001, 2.0329427E+001, 2.0328990E+001, 2.0755882E+001, 4.9905455E-080, 3.8641183E-002, 3.0000000E+001, 2.0329142E+001, 2.0329104E+001, 2.0755882E+001, 1.4473675E-087, 3.8641183E-002, 3.0000000E+001
