s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 3.4056091E+001, 5.6856151E+001, 0.0000000E+000,-1.5188846E+001,-1.5083338E-002,-4.6539662E+000,-8.7879278E-003, 1.5151358E+001, 0.0000000E+000, 5.1900327E+001, 5.2140826E+001, 0.0000000E+000, 2.8755997E-003, 0.0000000E+000, 1.4591191E+003
 3.5049885E+001, 6.1474676E+001, 0.0000000E+000,-1.6408181E+001,-1.6182855E-002,-4.9352275E+000,-9.3859862E-003, 1.6416156E+001, 0.0000000E+000, 5.6303339E+001, 5.6521855E+001, 0.0000000E+000, 3.0843149E-003, 0.0000000E+000, 1.5627373E+003
 3.6045834E+001, 6.5176740E+001, 0.0000000E+000,-1.7523648E+001,-1.7311358E-002,-5.4653354E+000,-9.9736751E-003, 1.7298176E+001, 0.0000000E+000, 5.9333682E+001, 5.9458647E+001, 0.0000000E+000, 3.2938540E-003, 0.0000000E+000, 1.6722714E+003
 3.7019653E+001, 6.9228108E+001, 0.0000000E+000,-1.8421228E+001,-1.8533551E-002,-6.0850995E+000,-1.0556690E-002, 1.8322304E+001, 0.0000000E+000, 6.2922224E+001, 6.3014994E+001, 0.0000000E+000, 3.5036561E-003, 0.0000000E+000, 1.7857557E+003
 3.8058125E+001, 7.3544795E+001, 0.0000000E+000,-2.0559681E+001,-1.9621525E-002,-6.4828894E+000,-1.1188047E-002, 1.9040356E+001, 0.0000000E+000, 6.5216413E+001, 6.5511771E+001, 0.0000000E+000, 3.7158805E-003, 0.0000000E+000, 1.9112857E+003
 3.9017879E+001, 7.8378217E+001, 0.0000000E+000,-2.0827288E+001,-2.0828646E-002,-7.0658708E+000,-1.1722030E-002, 2.0690181E+001, 0.0000000E+000, 7.1126830E+001, 7.1142689E+001, 0.0000000E+000, 3.9248754E-003, 0.0000000E+000, 2.0376726E+003
 4.0048145E+001, 8.1487365E+001, 0.0000000E+000,-2.2364816E+001,-2.1854418E-002,-7.6709372E+000,-1.2431365E-002, 2.1067417E+001, 0.0000000E+000, 7.2142184E+001, 7.2484743E+001, 0.0000000E+000, 4.1376074E-003, 0.0000000E+000, 2.1754601E+003
 4.1034267E+001, 8.6500600E+001, 0.0000000E+000,-2.3590035E+001,-2.3061267E-002,-8.3534529E+000,-1.3037341E-002, 2.2361317E+001, 0.0000000E+000, 7.6752814E+001, 7.6882330E+001, 0.0000000E+000, 4.3502730E-003, 0.0000000E+000, 2.3156852E+003
 4.2020390E+001, 8.9946895E+001, 0.0000000E+000,-2.4235022E+001,-2.4121483E-002,-8.9905487E+000,-1.3594871E-002, 2.3256206E+001, 0.0000000E+000, 7.9885364E+001, 7.9939815E+001, 0.0000000E+000, 4.5586240E-003, 0.0000000E+000, 2.4616142E+003
 4.3006516E+001, 9.5202421E+001, 0.0000000E+000,-2.6935312E+001,-2.5375192E-002,-9.6492727E+000,-1.4200350E-002, 2.4008052E+001, 0.0000000E+000, 8.2341148E+001, 8.2586312E+001, 0.0000000E+000, 4.7675860E-003, 0.0000000E+000, 2.6120367E+003
 4.4019783E+001, 9.8613921E+001, 0.0000000E+000,-2.6651853E+001,-2.6302595E-002,-1.0358589E+001,-1.4908724E-002, 2.5280273E+001, 0.0000000E+000, 8.6853327E+001, 8.6842541E+001, 0.0000000E+000, 4.9773574E-003, 0.0000000E+000, 2.7750961E+003
 4.5043079E+001, 1.0362446E+002, 0.0000000E+000,-2.8434909E+001,-2.7732655E-002,-1.0981264E+001,-1.5418840E-002, 2.6306908E+001, 0.0000000E+000, 9.0179124E+001, 9.0472044E+001, 0.0000000E+000, 5.1942659E-003, 0.0000000E+000, 2.9461205E+003
 4.6009212E+001, 1.0772181E+002, 0.0000000E+000,-2.9171210E+001,-2.8771262E-002,-1.1691130E+001,-1.6022218E-002, 2.7403430E+001, 0.0000000E+000, 9.4242387E+001, 9.4218108E+001, 0.0000000E+000, 5.4036033E-003, 0.0000000E+000, 3.1146622E+003
 4.7004971E+001, 1.1172555E+002, 0.0000000E+000,-3.1176220E+001,-3.0071458E-002,-1.2750379E+001,-1.6467216E-002, 2.7776666E+001, 0.0000000E+000, 9.5340706E+001, 9.5529076E+001, 0.0000000E+000, 5.6112808E-003, 0.0000000E+000, 3.2905026E+003
 4.8012722E+001, 1.1512600E+002, 0.0000000E+000,-3.2414630E+001,-3.1034736E-002,-1.3634083E+001,-1.7154263E-002, 2.8346558E+001, 0.0000000E+000, 9.7265774E+001, 9.7375658E+001, 0.0000000E+000, 5.8214592E-003, 0.0000000E+000, 3.4722107E+003
 4.9007053E+001, 1.2056967E+002, 0.0000000E+000,-3.3317029E+001,-3.2263158E-002,-1.4465741E+001,-1.7686818E-002, 2.9838364E+001, 0.0000000E+000, 1.0253147E+002, 1.0257531E+002, 0.0000000E+000, 6.0333062E-003, 0.0000000E+000, 3.6609953E+003
 5.0045544E+001, 1.2305746E+002, 0.0000000E+000,-3.5112684E+001,-3.3361401E-002,-1.5460089E+001,-1.8341469E-002, 2.9757180E+001, 0.0000000E+000, 1.0202961E+002, 1.0219017E+002, 0.0000000E+000, 6.2504430E-003, 0.0000000E+000, 3.8574806E+003
 5.1048870E+001, 1.2878526E+002, 0.0000000E+000,-3.6585244E+001,-3.4722254E-002,-1.6346420E+001,-1.8936513E-002, 3.1100683E+001, 0.0000000E+000, 1.0675162E+002, 1.0690062E+002, 0.0000000E+000, 6.4655550E-003, 0.0000000E+000, 4.0559117E+003
 5.2002029E+001, 1.3267735E+002, 0.0000000E+000,-3.7611527E+001,-3.5739204E-002,-1.7391665E+001,-1.9485176E-002, 3.1900845E+001, 0.0000000E+000, 1.0965778E+002, 1.0951978E+002, 0.0000000E+000, 6.6719122E-003, 0.0000000E+000, 4.2495688E+003
 5.3041111E+001, 1.3674312E+002, 0.0000000E+000,-3.9211470E+001,-3.7056427E-002,-1.8131822E+001,-2.0024780E-002, 3.2543557E+001, 0.0000000E+000, 1.1165216E+002, 1.1188630E+002, 0.0000000E+000, 6.8841397E-003, 0.0000000E+000, 4.4645137E+003
 5.4018623E+001, 1.4101260E+002, 0.0000000E+000,-3.9754304E+001,-3.8255111E-002,-1.9142675E+001,-2.0529069E-002, 3.3711125E+001, 0.0000000E+000, 1.1576513E+002, 1.1576797E+002, 0.0000000E+000, 7.0963689E-003, 0.0000000E+000, 4.6742173E+003
 5.5042686E+001, 1.4580927E+002, 0.0000000E+000,-4.2525542E+001,-3.9406238E-002,-2.0217865E+001,-2.1202112E-002, 3.4080825E+001, 0.0000000E+000, 1.1713641E+002, 1.1708608E+002, 0.0000000E+000, 7.3089016E-003, 0.0000000E+000, 4.8963762E+003
 5.6020199E+001, 1.4893174E+002, 0.0000000E+000,-4.1912466E+001,-4.0240776E-002,-2.1434580E+001,-2.1871661E-002, 3.5134468E+001, 0.0000000E+000, 1.2042287E+002, 1.2065705E+002, 0.0000000E+000, 7.5195300E-003, 0.0000000E+000, 5.1146945E+003
 5.7040535E+001, 1.5435752E+002, 0.0000000E+000,-4.5320239E+001,-4.1594947E-002,-2.2748569E+001,-2.2546878E-002, 3.5409382E+001, 0.0000000E+000, 1.2186963E+002, 1.2163396E+002, 0.0000000E+000, 7.7318453E-003, 0.0000000E+000, 5.3448925E+003
 5.8020256E+001, 1.5864771E+002, 0.0000000E+000,-4.6203668E+001,-4.2714792E-002,-2.3620920E+001,-2.3163349E-002, 3.6435044E+001, 0.0000000E+000, 1.2509440E+002, 1.2519229E+002, 0.0000000E+000, 7.9432980E-003, 0.0000000E+000, 5.5719376E+003
 5.9032654E+001, 1.6234318E+002, 0.0000000E+000,-4.7931251E+001,-4.4122020E-002,-2.5198878E+001,-2.3602329E-002, 3.6563397E+001, 0.0000000E+000, 1.2547403E+002, 1.2570872E+002, 0.0000000E+000, 8.1520790E-003, 0.0000000E+000, 5.8072436E+003
 6.0001762E+001, 1.6739397E+002, 0.0000000E+000,-4.9958490E+001,-4.5235718E-002,-2.6105840E+001,-2.4136719E-002, 3.7484697E+001, 0.0000000E+000, 1.2848642E+002, 1.2874496E+002, 0.0000000E+000, 8.3628970E-003, 0.0000000E+000, 6.0381365E+003
 6.1031116E+001, 1.7361584E+002, 0.0000000E+000,-5.2855770E+001,-4.7330177E-002,-2.7122532E+001,-2.4623150E-002, 3.8389874E+001, 0.0000000E+000, 1.3229448E+002, 1.3195546E+002, 0.0000000E+000, 8.6503918E-003, 0.0000000E+000, 6.2899962E+003
 6.2039566E+001, 1.8013736E+002, 0.0000000E+000,-5.3525337E+001,-4.8413430E-002,-2.8211748E+001,-2.6131614E-002, 4.0351789E+001, 0.0000000E+000, 1.3870764E+002, 1.3867752E+002, 0.0000000E+000, 9.0081822E-003, 0.0000000E+000, 6.5489700E+003
 6.3022827E+001, 1.8426922E+002, 0.0000000E+000,-5.6247781E+001,-5.0668487E-002,-3.0071847E+001,-2.6831323E-002, 4.0097315E+001, 0.0000000E+000, 1.3757676E+002, 1.3796941E+002, 0.0000000E+000, 9.3599092E-003, 0.0000000E+000, 6.7994014E+003
 6.4027603E+001, 1.9229764E+002, 0.0000000E+000,-5.7878255E+001,-5.2424726E-002,-3.1754940E+001,-2.7759766E-002, 4.2090213E+001, 0.0000000E+000, 1.4465638E+002, 1.4467447E+002, 0.0000000E+000, 9.7094289E-003, 0.0000000E+000, 7.0685221E+003
 6.5041359E+001, 2.0053956E+002, 0.0000000E+000,-6.0284887E+001,-5.5099510E-002,-3.3659652E+001,-2.8686708E-002, 4.3792443E+001, 0.0000000E+000, 1.5030577E+002, 1.5030368E+002, 0.0000000E+000, 1.0067110E-002, 0.0000000E+000, 7.3509812E+003
 6.6039856E+001, 2.0640269E+002, 0.0000000E+000,-6.2974816E+001,-5.6902156E-002,-3.5241066E+001,-2.9344861E-002, 4.4274761E+001, 0.0000000E+000, 1.5261041E+002, 1.5237532E+002, 0.0000000E+000, 1.0420258E-002, 0.0000000E+000, 7.6324887E+003
 6.7001633E+001, 2.1593819E+002, 0.0000000E+000,-6.6806216E+001,-5.9199595E-002,-3.7055017E+001,-3.0229150E-002, 4.5900271E+001, 0.0000000E+000, 1.5760218E+002, 1.5788780E+002, 0.0000000E+000, 1.0764781E-002, 0.0000000E+000, 7.9130973E+003
 6.8016182E+001, 2.2090785E+002, 0.0000000E+000,-6.7399947E+001,-6.0878789E-002,-3.9005002E+001,-3.1177589E-002, 4.6909106E+001, 0.0000000E+000, 1.6148690E+002, 1.6131995E+002, 0.0000000E+000, 1.1113477E-002, 0.0000000E+000, 8.2160691E+003
 6.9010551E+001, 2.2754479E+002, 0.0000000E+000,-7.0623276E+001,-6.2772453E-002,-4.1004468E+001,-3.2301414E-002, 4.7455380E+001, 0.0000000E+000, 1.6354005E+002, 1.6327736E+002, 0.0000000E+000, 1.1468396E-002, 0.0000000E+000, 8.5166351E+003
 7.0027679E+001, 2.3508403E+002, 0.0000000E+000,-7.2307295E+001,-6.4280771E-002,-4.2878110E+001,-3.3470416E-002, 4.9128308E+001, 0.0000000E+000, 1.6849946E+002, 1.6892918E+002, 0.0000000E+000, 1.1822987E-002, 0.0000000E+000, 8.8340788E+003
 7.1000069E+001, 2.4353113E+002, 0.0000000E+000,-7.9207843E+001,-6.6970162E-002,-4.5077687E+001,-3.4033465E-002, 4.8715893E+001, 0.0000000E+000, 1.6800969E+002, 1.6786049E+002, 0.0000000E+000, 1.2172388E-002, 0.0000000E+000, 9.1355455E+003
 7.2023705E+001, 2.5026323E+002, 0.0000000E+000,-7.6731924E+001,-6.8594779E-002,-4.7339321E+001,-3.5301184E-002, 5.1820560E+001, 0.0000000E+000, 1.7805962E+002, 1.7790865E+002, 0.0000000E+000, 1.2523527E-002, 0.0000000E+000, 9.4732045E+003
 7.3017090E+001, 2.5573527E+002, 0.0000000E+000,-8.1839757E+001,-7.0705565E-002,-4.9420476E+001,-3.6109790E-002, 5.0875582E+001, 0.0000000E+000, 1.7568444E+002, 1.7524381E+002, 0.0000000E+000, 1.2879747E-002, 0.0000000E+000, 9.7952437E+003
 7.4030785E+001, 2.6447390E+002, 0.0000000E+000,-8.5911553E+001,-7.2714243E-002,-5.1431103E+001,-3.6952829E-002, 5.2024340E+001, 0.0000000E+000, 1.7865406E+002, 1.7904592E+002, 0.0000000E+000, 1.3233436E-002, 0.0000000E+000, 1.0130281E+004
 7.5028091E+001, 2.6793642E+002, 0.0000000E+000,-8.7891370E+001,-7.5175056E-002,-5.3278173E+001,-3.7412610E-002, 5.1898117E+001, 0.0000000E+000, 1.7906425E+002, 1.7855241E+002, 0.0000000E+000, 1.3587981E-002, 0.0000000E+000, 1.0460090E+004
 7.6001556E+001, 2.7956678E+002, 0.0000000E+000,-9.2676498E+001,-7.6457592E-002,-5.5749266E+001,-3.8533744E-002, 5.3689819E+001, 0.0000000E+000, 1.8442795E+002, 1.8471584E+002, 0.0000000E+000, 1.3935013E-002, 0.0000000E+000, 1.0792298E+004
 7.7003929E+001, 2.8047516E+002, 0.0000000E+000,-8.9883381E+001,-7.8144329E-002,-5.7384087E+001,-4.0224820E-002, 5.4672041E+001, 0.0000000E+000, 1.8784435E+002, 1.8776136E+002, 0.0000000E+000, 1.4283724E-002, 0.0000000E+000, 1.1141202E+004
 7.8026794E+001, 2.9390713E+002, 0.0000000E+000,-9.8624961E+001,-8.1448805E-002,-5.9850904E+001,-4.0589496E-002, 5.5028158E+001, 0.0000000E+000, 1.8987501E+002, 1.9033738E+002, 0.0000000E+000, 1.4642345E-002, 0.0000000E+000, 1.1498795E+004
 7.9005783E+001, 2.9895114E+002, 0.0000000E+000,-9.9759208E+001,-8.2737725E-002,-6.1467723E+001,-4.0949770E-002, 5.6639627E+001, 0.0000000E+000, 1.9494919E+002, 1.9424015E+002, 0.0000000E+000, 1.4994191E-002, 0.0000000E+000, 1.1852227E+004
 8.0015198E+001, 3.0472901E+002, 0.0000000E+000,-1.0411241E+002,-8.5321274E-002,-6.4084713E+001,-4.1973897E-002, 5.5727855E+001, 0.0000000E+000, 1.9199639E+002, 1.9213245E+002, 0.0000000E+000, 1.5343410E-002, 0.0000000E+000, 1.2209876E+004
