s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.4301344E+002, 3.1091339E+002, 0.0000000E+000,-1.9934447E+002,-1.0251241E+000,-1.5526030E+002,-9.6654943E-002,-3.6175903E+000, 0.0000000E+000,-4.5593497E+001,-4.8430749E+001, 0.0000000E+000, 1.3823815E-001, 0.0000000E+000, 3.6194424E+004
 2.4402985E+002, 3.1299216E+002, 0.0000000E+000,-1.9629966E+002,-1.0784123E+000,-1.5426436E+002,-8.9628118E-002,-1.0948164E+000, 0.0000000E+000,-4.0930891E+001,-3.9834723E+001, 0.0000000E+000, 1.3936291E-001, 0.0000000E+000, 3.6185786E+004
 2.4502176E+002, 3.4485569E+002, 0.0000000E+000,-2.0159208E+002,-1.0706424E+000,-1.5370338E+002,-8.6116538E-002, 8.9836148E+000, 0.0000000E+000,-4.6033176E-001,-2.6129099E+000, 0.0000000E+000, 1.4049682E-001, 0.0000000E+000, 3.6243982E+004
 2.4605586E+002, 3.3240532E+002, 0.0000000E+000,-1.9548600E+002,-1.0776696E+000,-1.5355963E+002,-8.5716972E-002, 6.6975650E+000, 0.0000000E+000,-1.2321343E+001,-1.1106133E+001, 0.0000000E+000, 1.4163187E-001, 0.0000000E+000, 3.6286014E+004
 2.4702612E+002, 3.3767540E+002, 0.0000000E+000,-1.9679733E+002,-1.1183270E+000,-1.5338267E+002,-8.7750086E-002, 8.9299149E+000, 0.0000000E+000,-2.3125511E+000,-4.7807572E+000, 0.0000000E+000, 1.4276209E-001, 0.0000000E+000, 3.6343238E+004
 2.4801875E+002, 3.1821915E+002, 0.0000000E+000,-1.9159883E+002,-1.0841095E+000,-1.5305401E+002,-8.8165869E-002, 3.4578619E+000, 0.0000000E+000,-2.3846356E+001,-2.4148101E+001, 0.0000000E+000, 1.4387049E-001, 0.0000000E+000, 3.6364660E+004
 2.4902538E+002, 3.3908844E+002, 0.0000000E+000,-1.9374527E+002,-1.1314297E+000,-1.5229035E+002,-8.7194239E-002, 1.0252106E+001, 0.0000000E+000,-1.0868685E+000, 2.0863004E+000, 0.0000000E+000, 1.4499352E-001, 0.0000000E+000, 3.6426838E+004
 2.5002361E+002, 3.5857696E+002, 0.0000000E+000,-1.9626594E+002,-1.1407182E+000,-1.5149593E+002,-8.4112262E-002, 1.6976880E+001, 0.0000000E+000, 2.6161565E+001, 2.6567135E+001, 0.0000000E+000, 1.4612355E-001, 0.0000000E+000, 3.6533854E+004
 2.5102121E+002, 3.5129938E+002, 0.0000000E+000,-1.9501370E+002,-1.1469648E+000,-1.5095281E+002,-8.3050044E-002, 1.5117955E+001, 0.0000000E+000, 1.7694100E+001, 1.9220806E+001, 0.0000000E+000, 1.4723744E-001, 0.0000000E+000, 3.6627741E+004
 2.5205392E+002, 3.5698814E+002, 0.0000000E+000,-1.9800491E+002,-1.1481616E+000,-1.5099749E+002,-8.0832164E-002, 1.7159046E+001, 0.0000000E+000, 2.5207343E+001, 2.3915792E+001, 0.0000000E+000, 1.4837308E-001, 0.0000000E+000, 3.6741127E+004
 2.5301140E+002, 3.6833070E+002, 0.0000000E+000,-1.9876728E+002,-1.1657140E+000,-1.5196016E+002,-7.6134331E-002, 2.0312231E+001, 0.0000000E+000, 3.4980748E+001, 3.6673652E+001, 0.0000000E+000, 1.4948979E-001, 0.0000000E+000, 3.6862822E+004
 2.5403412E+002, 3.4794014E+002, 0.0000000E+000,-1.9248415E+002,-1.1600368E+000,-1.5219196E+002,-7.9187989E-002, 1.5506830E+001, 0.0000000E+000, 2.1013758E+001, 1.7531628E+001, 0.0000000E+000, 1.5000000E-001, 0.0000000E+000, 3.6966607E+004
 2.5505627E+002, 3.6224137E+002, 0.0000000E+000,-1.9436474E+002,-1.1500575E+000,-1.5221842E+002,-7.3755769E-002, 1.8996096E+001, 0.0000000E+000, 3.1641031E+001, 3.3430494E+001, 0.0000000E+000, 1.5000000E-001, 0.0000000E+000, 3.7087870E+004
 2.5600027E+002, 3.6095082E+002, 0.0000000E+000,-1.9222863E+002,-1.1793553E+000,-1.5273895E+002,-7.4200390E-002, 1.8844495E+001, 0.0000000E+000, 3.5817721E+001, 3.3574171E+001, 0.0000000E+000, 1.5000000E-001, 0.0000000E+000, 3.7202868E+004
 2.5703070E+002, 3.4527529E+002, 0.0000000E+000,-1.9226478E+002,-1.1627886E+000,-1.5357036E+002,-7.7096919E-002, 1.2548567E+001, 0.0000000E+000, 1.3476638E+001, 1.0748843E+001, 0.0000000E+000, 1.5000000E-001, 0.0000000E+000, 3.7287551E+004
 2.5804507E+002, 2.7748795E+002, 0.0000000E+000,-1.8094394E+002,-1.1603261E+000,-1.5448939E+002,-8.3945279E-002,-8.0782707E+000, 0.0000000E+000,-6.1380868E+001,-6.7267923E+001, 0.0000000E+000, 1.5000000E-001, 0.0000000E+000, 3.7240628E+004
 2.5904868E+002, 2.1899141E+002, 0.0000000E+000,-1.6952161E+002,-1.1594606E+000,-1.5393504E+002,-8.4678194E-002,-2.5961295E+001, 0.0000000E+000,-1.2886583E+002,-1.3167068E+002, 0.0000000E+000, 1.5000000E-001, 0.0000000E+000, 3.7076744E+004
 2.6000000E+002, 1.8370916E+002, 0.0000000E+000,-1.6383231E+002,-1.1562391E+000,-1.5274629E+002,-8.7685102E-002,-3.6748502E+001, 0.0000000E+000,-1.7018436E+002,-1.7086186E+002, 0.0000000E+000, 1.5000000E-001, 0.0000000E+000, 3.6854062E+004
